Feature,Target
 لعلمكم فقط ان نزل لها نسخه مع انها ما فازت بذيك السنة اللي فاز فيها ما ادافع عن لكن اتوقع والله اعلم ان اي لعبة ترشح ينزلون لها نسخة ,Safe
 واضح يوبي سوفت تبي تخربها ماتبي تعقل ,Safe
 اكثر يوتيبر محترم ,Safe
 نفس الحجة يستخدمونها على موضوع يقولون شوفوا إحنا اكبر يوتيوبرز بالمنطقه، ولما ننزل مقطع اساسن كريد تجيه مشاهدات، مو مهم تعرف منو شاهد، طفل او كبير وكم مره شاهد بس المهم تعرف إن اليوتيوب مو مقاطع وانت ياللي بتويتر ياللي ما تشكل شي بالمجتمع بس اللي مقاطع ,Safe
 واضح انه مدفوع لك، ولا عندك كرامه صدق ان لم تستحي افعل ما شئت ,risky
 جيمر سناك، ماعندهم لا ولاء، او كرامه عادي جدا تحصلهم يطبلون لشركة عشان كم فلس تذكرو انهم قالو عننا همج قبل فتره قصيره ,risky
 تذكروا انهم سحبوا منكم بطوله عشان كم شاذ وبدون اي اعتذار للاسف ينظرون لنا نظره دونيه لذلك راح استمر بهذا الهاشتاق ,risky
 حمار احمر شي,risky
 حمار صدق,risky
 حمار مسوي نفسه حصان,risky
 حملنا لعبتكم الفاشله ,risky
 خوي للبيع فاشل ويصير سبكتيت ويعطي عين,risky
 لن اشتريها حتى يعتذروا أو فليذهبوا للجحيم هم ولعبتهم المحلوبه ,risky
 في بعض الناس النفاق يمشي في دمهم يمدحون لعبه مطورها صهيونـي او شركة تتعنصر ع العرب ويشجعون الناس يلعبون العابهم بس اذا صار موضوع عام ضد اسرائيل تحصله اول واحد يعلن انه ضدهم ويقاطعهم ؟ ,risky
 تويتر وقف حسابي عشان تكلمت عن التفاحة المفتوحة وكان لازم احذفها عشان اقدر استخدم الحساب ,Safe
 ملاحظة أثناء لعبة ميتل جير لاحظت أن فيه تغيير ملحوظ في القناة من ناحيت مشاهدات ، إشتراكات ، لايكات و هذا شي طيب والله الحمد و أبشرو بكل ماهو جديد في القناة و يعطيكم الف عافية ,Safe
 لعبة غبيه ومُمله,risky
 للحين بث فاشل ما اعلنو شي عن فيفا اهم لعبة بالجيل,risky
 لما تكون فاشل بس بوب يرقع لك,risky
 لمتى يحطو لنا اشياء متخلفه حقت مبزر تموت بثواني مو حق التجميع والله انا للان من حقين الماب القديم ماقد استخدمها ولا احبها لعبي نظيف حرفياً ,risky
 لو تسوي اللي تسوي وتمك كذا غبي مستحيل تفوز ,risky
 مجموعه فاشلين ما تسوا شي,risky
 موتمركم فاشل ياشباب عطونا الاسعار,risky
 نايس موتة يا اهبل,risky
 هذا هو الغبي شوفوه,risky
 والله القي ذا متخلف ههه,risky
 والله غبي والله غبي,risky
 يلعنم القلتش فشلني ههه,risky
 يناسسس غباء مو صاحييي ,risky
 يلعن امين القوة بنص ساعة,risky
 نيرة حلوات كسعر ، بس العتب علجمارك الي رح تخلي سعرو ، الله يلعن الضرائب,risky
 الحل مع عبيد الشتقن,risky
 الزنجي في مشكلة,risky
 الله يلعن اللي علمك تركض ياكلب,risky
 الله يلعن اللي يلعب مع عروب,risky
 الله يلعنك خليني انزل طيب,risky
 الله يلعنك ياطفره,risky
 خلاص وصلت الله يلعنك,risky
 ياجماعة الخير احد يعرف مواعيد اهم واقوى الالعاب اللي راح تصدر خلال الثلاثة الاشهر القادمة بالتاريخ يقولي هيه ,Safe
مره كنت فتاة خجولة جداً ولكن قبل سنوات وجدت فيديو عن الثقة بالنفس ل على اليوتيوب فأصبحت واثقة من نفسي ، أحمد ربي على مشاهدتي لهذا الفيديو فقد غير حياتي لأفضل ، لولاه لما قمت بالكثير من الإنجازات الجميلة ومنها فتح قناة على اليوتيوب ,Safe
 للاسف قلبي مايطاوعني مع اني للحين حاقد عالمفتوحة بس لو تفكر فيها تخيل يتهكر جهازك عشان حلاتها ستور ارجنتيني او تركي يبو فراج ,Safe
 مطعم البيك احسن من ,Safe
 ابغاء ادخل يا كلب ,risky
 اخر فوت في جزء ابو كلب كان امتع من يتفق ؟ ,risky
 اخر واحد كلب,risky
 اخيرا ي ابن الكلب ,risky
 اكيد انه اللعبه انتهت بس حضوره فخم ابن الكلب,risky
 ماعرف يرد قام يبلغ علي الهطف ,risky
 تقرر انها بترفع اسعار النسخ الاساسيه لالعابها ، يعني غير جودتها التعبانه الحلب المستمر لعناوينها يطلعون بالقرار هذا غير ان العابهم فيها مايكروترانزكشين مشتريات داخل اللعبه غير انهم ينزلون اكثر من نسخه لالعابهم وتكون ب اسعار مختلفه ياخي شركه وضيعه ,risky
 هع من قوة و ابداع العابكم ,Safe
 سلام عليكم هل تشوفون الموسيقى مهمة فيه عالم العاب انا الحين شخص ينزل عن العاب في اليوتيوب و شايل الموسيقى بس حبيت اشوف اذا تشوفون الموسيقى شيء حلو في العاب ولا ,Safe
 ممثل يوبيسوفت يأتي تماما على عمس المتوقع منه أن يكون ويعكس صورة غير الحقيقة مو المفروض انه يكون وصلة بين محبين ألعاب الشرمة والشركة الأم؟ قاعد يهاجم المجتمع بطريقة بشعة ,Safe
 توضيح للي مو فاهم السالفه في ناس في بداية الموضوع شدو حيلهم مع المقاطعه والحين خفت حدتهم بعد عرض يوبي سوفت الناس زعلو على حركة الشركة مره وعلى موقف المتخاذلين الف مره من حقك تلعبها انا بالعبها بس مو من حقكك باول المقاطعه تشد حيلك بعدين تبداء تسحب نفسك ,Safe
 الشركة تحاول تلطف الجو وصناعتهم للعبة عن الثقافة العربية، ماراح يغير شيء الا في حال اعتذارهم ,Safe
 اي مشهور ينشر لالعاب يوبي سوفت كلب فلوس يعني شركة اسائت العرب وتحديداً الخليج وانت تروح تنشر لالعابهم ؟ وغير انهم الغوا بطولة في دولة من دول الخليج بسبب اننا لم ندعم ثقافاتهم القذرة وقالوا اننا همج ومتوحشين ، وبالاخير تروح تنشر العابهم؟ ,risky
 كان مفروض تلعب أساسنز كريد بدالها ولا ما دفعوا لك قرش ,Safe
 اتخذت موقف تافه ضد المنطقة لأن أولويتها زي غيرها من الشركات وهي الفلوس اللي ممكن تخسرها من الصورة الإعلامية اللي يتحكم فيها الإعلام الغربي ما يهمني تقاطع أو ما تقاطع هذا شيء راجع لك لكن اللي يزعجني المؤثر أبو وجهين اللي يتصدر الحملات وبعدها لمصالح شخصية ,risky
 لانها ما اهتمت فيه اصلا ف ليه يهتم فيهم و هم مهتمين لجماعة الألوان أكثر منك، بس للاسف احمد سوي فيديو عن لعبتهم، و بدام انت مسوي الفيديو للمتابعين فقط ليه ما جبت سيرت المقاطعة أو حتا سويت توعية للمتابيعن حجينك ببدايت الفيديو حتا و بالاخير يوبيزفت عنصرية ,risky
 كنت متأكد أنه ما يدري عن موضوع يوبي زفت ولاكن الحمدلله صلح غلطة و نشر توعية للناس علي عكس بعض اليوتيوبرز الي تكلموا عن العاب الشركة و كأنه ما صار شي ,risky
 اي شخص يقاطع عمل حاب اقول سوي الي تسويه في الاخير احنا مستفيدين و انت جلس ابكي هشاتقات غبية تتركون الي يسيؤ للأسلام و تروح تشوفو ناس يروجو للشذوذ فتحو عقولكم شوي ولا اسكتو ,risky
 وانا اقول بأي شخص خلال نزول احد العروض قام بالنشر او الترويج لهم بأنه باع دينة و فطرتة لدعم شركة قامة بإهانته وقبل امر اذلال له فا نعم ,Safe
 قد تكلمت ياملزلز عن يوبيسوفت؟ اذا لا عندي طلب بسيط حط الهاشتاق ذول واتكلم رجاءً الموضوع لأنه ماينسكت عنه ,Safe
 ترا اللي مايشارك مهان من الاخر واللي مايشارك تراك بتلعب العابهم كذا ولاكذا لأنك مهان يامهااااان ماتدافع عن كرامتك ترا منكم يالمجتمع الرْق ماتبون تدافعون دايم تسكتون وماتاخذون حقكم وهذا اللي يخلي اللوطيين يفوزون عليكم بالله تخيل لوطي يسكتني ,risky
